"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR2911775","NDSU13","SRR4345507","SRR14766434","SRR5904974","SRR6683743","SRR6278424","SRR14766455","SRR2077395","SRR14767695","SRR1511527","SRR14766433","SRR3037434","SRR13641955","SRR14766368"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"NCJKFECA_03851","GBFFMACB_03774","JGOBPIKM_01488","JAJDIPKB_01593","EDAOGEGO_02499","OCPBJCHP_01227","ELDOCFMP_03348","BHJELCCI_02533","CKEGPAKG_03530","IJEALMHG_03232","BENFFAFO_01953","JOCLDNKJ_03805","ENBCENPF_00844","KKHOBGKP_01724","DLDIJGFH_00620"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"NCJKFECA_03987","GBFFMACB_02273","JGOBPIKM_01386","JAJDIPKB_03315","EDAOGEGO_04124","OCPBJCHP_01127","ELDOCFMP_03449","BHJELCCI_03429","CKEGPAKG_03917","IJEALMHG_01948","BENFFAFO_03606","JOCLDNKJ_02883","ENBCENPF_00744","KKHOBGKP_01824","DLDIJGFH_00520"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"NCJKFECA_03071","GBFFMACB_03398","JGOBPIKM_03382","JAJDIPKB_02336","EDAOGEGO_03505","OCPBJCHP_04195","ELDOCFMP_03579","BHJELCCI_04027","CKEGPAKG_01933","IJEALMHG_03451","BENFFAFO_02596","JOCLDNKJ_03977","ENBCENPF_03085","KKHOBGKP_03777","DLDIJGFH_04278"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"NCJKFECA_03641","GBFFMACB_02380","JGOBPIKM_03861","JAJDIPKB_03166","EDAOGEGO_03757","OCPBJCHP_03274","ELDOCFMP_04222","BHJELCCI_02840","CKEGPAKG_02576","IJEALMHG_02755","BENFFAFO_03499","JOCLDNKJ_02139","ENBCENPF_03652","KKHOBGKP_04053","DLDIJGFH_03792"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"NCJKFECA_03636","GBFFMACB_02385","JGOBPIKM_03866","JAJDIPKB_00955","EDAOGEGO_03752","OCPBJCHP_03269","ELDOCFMP_04217","BHJELCCI_02835","CKEGPAKG_02581","IJEALMHG_02760","BENFFAFO_03494","JOCLDNKJ_02144","ENBCENPF_03657","KKHOBGKP_04058","DLDIJGFH_03787"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"NCJKFECA_03578","GBFFMACB_02443","JGOBPIKM_03924","JAJDIPKB_00897","EDAOGEGO_03694","OCPBJCHP_03211","ELDOCFMP_04159","BHJELCCI_02777","CKEGPAKG_02639","IJEALMHG_03585","BENFFAFO_03436","JOCLDNKJ_02202","ENBCENPF_03715","KKHOBGKP_04116","DLDIJGFH_03729"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"NCJKFECA_03542","GBFFMACB_04225","JGOBPIKM_03960","JAJDIPKB_00861","EDAOGEGO_03658","OCPBJCHP_03175","ELDOCFMP_04123","BHJELCCI_02741","CKEGPAKG_02675","IJEALMHG_03621","BENFFAFO_03400","JOCLDNKJ_02238","ENBCENPF_03751","KKHOBGKP_04152","DLDIJGFH_03693"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"NCJKFECA_04176","GBFFMACB_03159","JGOBPIKM_04358","JAJDIPKB_01650","EDAOGEGO_04254","OCPBJCHP_04018","ELDOCFMP_04342","BHJELCCI_03953","CKEGPAKG_03652","IJEALMHG_03788","BENFFAFO_04130","JOCLDNKJ_03596","ENBCENPF_04205","KKHOBGKP_04316","DLDIJGFH_04058"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"NCJKFECA_04120","GBFFMACB_03103","JGOBPIKM_04302","JAJDIPKB_01706","EDAOGEGO_04310","OCPBJCHP_03962","ELDOCFMP_04398","BHJELCCI_03897","CKEGPAKG_03596","IJEALMHG_04392","BENFFAFO_04186","JOCLDNKJ_03652","ENBCENPF_04261","KKHOBGKP_04260","DLDIJGFH_04114"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"NCJKFECA_02971","GBFFMACB_02467","JGOBPIKM_03282","JAJDIPKB_04165","EDAOGEGO_03605","OCPBJCHP_02965","ELDOCFMP_03681","BHJELCCI_03180","CKEGPAKG_02034","IJEALMHG_01412","BENFFAFO_02496","JOCLDNKJ_01853","ENBCENPF_03185","KKHOBGKP_03676","DLDIJGFH_03640"
