"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR23043683","SRR14766346","SRR14766380","SRR1411125","SRR14766419","SRR6321910","SRR1422648","SRR1334790","SRR28323368","SRR28412153","SRR14766383","SRR2102470","SRR14766417","SRR5905073","SRR10084895"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"MEPKKOBK_00844","LIGJNIOG_00581","DFDOGILI_00676","LNNOOKGB_03174","JCGPGLCM_00636","KMHKNAGE_00981","BCLDPBNN_04020","EEHBNCGH_01513","FCMCIBEK_01547","IKEDIMNK_01679","JCMLOGCE_04174","AJGBHJCG_00885","ICNKMNLE_04249","MFGIAFOD_02450","AIHABEGN_00978"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"MEPKKOBK_00744","LIGJNIOG_00482","DFDOGILI_03490","LNNOOKGB_03702","JCGPGLCM_00535","KMHKNAGE_00881","BCLDPBNN_03339","EEHBNCGH_01613","FCMCIBEK_01447","IKEDIMNK_01779","JCMLOGCE_02603","AJGBHJCG_02968","ICNKMNLE_03221","MFGIAFOD_03548","AIHABEGN_01078"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"MEPKKOBK_03415","LIGJNIOG_02736","DFDOGILI_02402","LNNOOKGB_02528","JCGPGLCM_03441","KMHKNAGE_03965","BCLDPBNN_04249","EEHBNCGH_04050","FCMCIBEK_03801","IKEDIMNK_03873","JCMLOGCE_03593","AJGBHJCG_03848","ICNKMNLE_02805","MFGIAFOD_04275","AIHABEGN_03800"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"MEPKKOBK_03986","LIGJNIOG_02902","DFDOGILI_03786","LNNOOKGB_03082","JCGPGLCM_02930","KMHKNAGE_04327","BCLDPBNN_03152","EEHBNCGH_03971","FCMCIBEK_04163","IKEDIMNK_03997","JCMLOGCE_03953","AJGBHJCG_03159","ICNKMNLE_04576","MFGIAFOD_03149","AIHABEGN_04248"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"MEPKKOBK_03991","LIGJNIOG_02897","DFDOGILI_03791","LNNOOKGB_03077","JCGPGLCM_02925","KMHKNAGE_04322","BCLDPBNN_03157","EEHBNCGH_03966","FCMCIBEK_04158","IKEDIMNK_04002","JCMLOGCE_03902","AJGBHJCG_03154","ICNKMNLE_03407","MFGIAFOD_03154","AIHABEGN_04243"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"MEPKKOBK_04049","LIGJNIOG_02839","DFDOGILI_04178","LNNOOKGB_03019","JCGPGLCM_03544","KMHKNAGE_04264","BCLDPBNN_03215","EEHBNCGH_03908","FCMCIBEK_04100","IKEDIMNK_04060","JCMLOGCE_04602","AJGBHJCG_03968","ICNKMNLE_02855","MFGIAFOD_03212","AIHABEGN_04185"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"MEPKKOBK_04085","LIGJNIOG_02803","DFDOGILI_04214","LNNOOKGB_02983","JCGPGLCM_03508","KMHKNAGE_04228","BCLDPBNN_03251","EEHBNCGH_03872","FCMCIBEK_04064","IKEDIMNK_04096","JCMLOGCE_03843","AJGBHJCG_04004","ICNKMNLE_02819","MFGIAFOD_03248","AIHABEGN_04149"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"MEPKKOBK_04317","LIGJNIOG_03941","DFDOGILI_03989","LNNOOKGB_04073","JCGPGLCM_03170","KMHKNAGE_04447","BCLDPBNN_04047","EEHBNCGH_04349","FCMCIBEK_04346","IKEDIMNK_04260","JCMLOGCE_03411","AJGBHJCG_03431","ICNKMNLE_04375","MFGIAFOD_03907","AIHABEGN_04368"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"MEPKKOBK_04373","LIGJNIOG_03997","DFDOGILI_03933","LNNOOKGB_04017","JCGPGLCM_03114","KMHKNAGE_04503","BCLDPBNN_04103","EEHBNCGH_04293","FCMCIBEK_04290","IKEDIMNK_04204","JCMLOGCE_03467","AJGBHJCG_03487","ICNKMNLE_02908","MFGIAFOD_03963","AIHABEGN_04424"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"MEPKKOBK_03515","LIGJNIOG_04234","DFDOGILI_02503","LNNOOKGB_02429","JCGPGLCM_02253","KMHKNAGE_03865","BCLDPBNN_03756","EEHBNCGH_04145","FCMCIBEK_03700","IKEDIMNK_04268","JCMLOGCE_01474","AJGBHJCG_02346","ICNKMNLE_01070","MFGIAFOD_03408","AIHABEGN_03900"
