"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR15050788","SRR2096540","SRR5883594","SRR5905069","SRR14766450","SRR8280236","SRR27714918","SRR13641955","SRR10037243","SRR16506855","SRR7707918","NDSU8","SRR5904975","SRR23043675","SRR7041697"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"GECBOMLG_00176","NNIFEHJJ_00842","AMMIPIGE_01095","CNBCECDA_00590","MKNLEGFG_02224","ONBKJHEC_01056","JDGPEFCB_00977","KKHOBGKP_01724","OAJCOHFM_01723","MMJAGEHG_00978","BGKOLDCB_04263","CDDPGOFG_03367","EOBMODNK_00980","HFPEINND_00978","NCFACCIB_03333"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"GECBOMLG_00076","NNIFEHJJ_00742","AMMIPIGE_01196","CNBCECDA_00490","MKNLEGFG_03520","ONBKJHEC_03413","JDGPEFCB_01077","KKHOBGKP_01824","OAJCOHFM_01823","MMJAGEHG_01078","BGKOLDCB_02971","CDDPGOFG_01992","EOBMODNK_01080","HFPEINND_01078","NCFACCIB_01381"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"GECBOMLG_04197","NNIFEHJJ_03896","AMMIPIGE_04522","CNBCECDA_04365","MKNLEGFG_03889","ONBKJHEC_04163","JDGPEFCB_03751","KKHOBGKP_03777","OAJCOHFM_03876","MMJAGEHG_03721","BGKOLDCB_02564","CDDPGOFG_01834","EOBMODNK_03849","HFPEINND_03839","NCFACCIB_03709"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"GECBOMLG_03883","NNIFEHJJ_04128","AMMIPIGE_03606","CNBCECDA_03827","MKNLEGFG_03627","ONBKJHEC_02809","JDGPEFCB_04119","KKHOBGKP_04053","OAJCOHFM_04042","MMJAGEHG_04172","BGKOLDCB_03064","CDDPGOFG_02221","EOBMODNK_04015","HFPEINND_04196","NCFACCIB_03609"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"GECBOMLG_03878","NNIFEHJJ_04133","AMMIPIGE_03601","CNBCECDA_03832","MKNLEGFG_03632","ONBKJHEC_02814","JDGPEFCB_04124","KKHOBGKP_04058","OAJCOHFM_04037","MMJAGEHG_04167","BGKOLDCB_03096","CDDPGOFG_02226","EOBMODNK_04010","HFPEINND_04191","NCFACCIB_03604"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"GECBOMLG_03820","NNIFEHJJ_04191","AMMIPIGE_03543","CNBCECDA_03890","MKNLEGFG_04608","ONBKJHEC_02872","JDGPEFCB_04182","KKHOBGKP_04116","OAJCOHFM_03979","MMJAGEHG_04109","BGKOLDCB_02667","CDDPGOFG_02284","EOBMODNK_03952","HFPEINND_04133","NCFACCIB_03241"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"GECBOMLG_04284","NNIFEHJJ_04674","AMMIPIGE_03507","CNBCECDA_03926","MKNLEGFG_04124","ONBKJHEC_02908","JDGPEFCB_04218","KKHOBGKP_04152","OAJCOHFM_03943","MMJAGEHG_04073","BGKOLDCB_02631","CDDPGOFG_04022","EOBMODNK_03916","HFPEINND_04097","NCFACCIB_03205"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"GECBOMLG_04078","NNIFEHJJ_04315","AMMIPIGE_04242","CNBCECDA_04173","MKNLEGFG_03680","ONBKJHEC_03989","JDGPEFCB_04319","KKHOBGKP_04316","OAJCOHFM_04256","MMJAGEHG_04387","BGKOLDCB_02152","CDDPGOFG_04579","EOBMODNK_04275","HFPEINND_04379","NCFACCIB_03500"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"GECBOMLG_04134","NNIFEHJJ_04371","AMMIPIGE_04298","CNBCECDA_04229","MKNLEGFG_03736","ONBKJHEC_04045","JDGPEFCB_04375","KKHOBGKP_04260","OAJCOHFM_04312","MMJAGEHG_04443","BGKOLDCB_02208","CDDPGOFG_03618","EOBMODNK_04331","HFPEINND_04323","NCFACCIB_03444"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"GECBOMLG_03575","NNIFEHJJ_03796","AMMIPIGE_03396","CNBCECDA_03754","MKNLEGFG_03061","ONBKJHEC_04068","JDGPEFCB_03851","KKHOBGKP_03676","OAJCOHFM_04327","MMJAGEHG_03821","BGKOLDCB_00800","CDDPGOFG_03734","EOBMODNK_04471","HFPEINND_03739","NCFACCIB_01908"
