"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR1511581","SRR18233384","SRR18233397","SRR2911768","SRR1686502","SRR5877168","SRR14766340","SRR3097456","SRR5928712","SRR14766401","SRR14766342","SRR14766451","SRR5883596","SRR2994389","SRR22575394"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"MMKGKMLP_02752","LOGJCLKH_01759","KDMFFKAN_04085","HFBCCMPJ_04060","EEFPNCOK_02396","ABGDGJIO_00979","NLELDDOK_02954","PIILDIKB_04067","CDFNNGFP_00239","PDDJGGLI_03519","AMKEOKNE_02994","JKFJINKE_04053","AOBIHHBI_02441","APBHMKIJ_00762","JMEBLKPE_02279"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"MMKGKMLP_03072","LOGJCLKH_03617","KDMFFKAN_03481","HFBCCMPJ_01758","EEFPNCOK_03829","ABGDGJIO_01080","NLELDDOK_02062","PIILDIKB_01117","CDFNNGFP_00339","PDDJGGLI_03619","AMKEOKNE_03726","JKFJINKE_02900","AOBIHHBI_04054","APBHMKIJ_03582","JMEBLKPE_02848"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"MMKGKMLP_03181","LOGJCLKH_04257","KDMFFKAN_02274","HFBCCMPJ_03420","EEFPNCOK_02578","ABGDGJIO_04432","NLELDDOK_01232","PIILDIKB_03113","CDFNNGFP_04371","PDDJGGLI_03835","AMKEOKNE_04134","JKFJINKE_01996","AOBIHHBI_04476","APBHMKIJ_01883","JMEBLKPE_03755"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"MMKGKMLP_02504","LOGJCLKH_03340","KDMFFKAN_02956","HFBCCMPJ_01492","EEFPNCOK_03627","ABGDGJIO_04246","NLELDDOK_02276","PIILDIKB_03828","CDFNNGFP_03795","PDDJGGLI_04117","AMKEOKNE_03280","JKFJINKE_03051","AOBIHHBI_03680","APBHMKIJ_03662","JMEBLKPE_03206"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"MMKGKMLP_02509","LOGJCLKH_03345","KDMFFKAN_02951","HFBCCMPJ_01497","EEFPNCOK_03622","ABGDGJIO_04241","NLELDDOK_02281","PIILDIKB_03823","CDFNNGFP_03800","PDDJGGLI_04122","AMKEOKNE_03285","JKFJINKE_02962","AOBIHHBI_03675","APBHMKIJ_03667","JMEBLKPE_03211"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"MMKGKMLP_02567","LOGJCLKH_03403","KDMFFKAN_02893","HFBCCMPJ_01555","EEFPNCOK_03564","ABGDGJIO_04183","NLELDDOK_02339","PIILDIKB_03765","CDFNNGFP_03858","PDDJGGLI_04180","AMKEOKNE_03343","JKFJINKE_04430","AOBIHHBI_03617","APBHMKIJ_04149","JMEBLKPE_03858"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"MMKGKMLP_02603","LOGJCLKH_03439","KDMFFKAN_02857","HFBCCMPJ_04335","EEFPNCOK_04493","ABGDGJIO_04147","NLELDDOK_02375","PIILDIKB_03729","CDFNNGFP_03894","PDDJGGLI_04216","AMKEOKNE_03379","JKFJINKE_02846","AOBIHHBI_03581","APBHMKIJ_04113","JMEBLKPE_03822"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"MMKGKMLP_03648","LOGJCLKH_03984","KDMFFKAN_04008","HFBCCMPJ_02972","EEFPNCOK_04056","ABGDGJIO_04429","NLELDDOK_03776","PIILDIKB_00601","CDFNNGFP_04151","PDDJGGLI_04380","AMKEOKNE_04487","JKFJINKE_01330","AOBIHHBI_04184","APBHMKIJ_03944","JMEBLKPE_03469"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"MMKGKMLP_03704","LOGJCLKH_03928","KDMFFKAN_03952","HFBCCMPJ_02916","EEFPNCOK_04000","ABGDGJIO_04373","NLELDDOK_03832","PIILDIKB_00657","CDFNNGFP_04095","PDDJGGLI_04324","AMKEOKNE_04177","JKFJINKE_01386","AOBIHHBI_04240","APBHMKIJ_04000","JMEBLKPE_03413"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"MMKGKMLP_04225","LOGJCLKH_04265","KDMFFKAN_02174","HFBCCMPJ_00930","EEFPNCOK_02677","ABGDGJIO_04094","NLELDDOK_01332","PIILDIKB_03013","CDFNNGFP_03665","PDDJGGLI_03735","AMKEOKNE_03150","JKFJINKE_01892","AOBIHHBI_03898","APBHMKIJ_01983","JMEBLKPE_02435"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"MMKGKMLP_04381","LOGJCLKH_04511","KDMFFKAN_04187","HFBCCMPJ_03887","EEFPNCOK_04207","ABGDGJIO_04596","NLELDDOK_04202","PIILDIKB_04286","CDFNNGFP_04465","PDDJGGLI_04533","AMKEOKNE_04280","JKFJINKE_04527","AOBIHHBI_04622","APBHMKIJ_04410","JMEBLKPE_03964"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"MMKGKMLP_04378","LOGJCLKH_04508","KDMFFKAN_04190","HFBCCMPJ_03884","EEFPNCOK_04210","ABGDGJIO_04593","NLELDDOK_04205","PIILDIKB_04289","CDFNNGFP_04462","PDDJGGLI_04530","AMKEOKNE_04277","JKFJINKE_03427","AOBIHHBI_04619","APBHMKIJ_04407","JMEBLKPE_03961"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"MMKGKMLP_04357","LOGJCLKH_04487","KDMFFKAN_04211","HFBCCMPJ_03863","EEFPNCOK_04231","ABGDGJIO_04572","NLELDDOK_04226","PIILDIKB_04310","CDFNNGFP_04441","PDDJGGLI_04509","AMKEOKNE_04256","JKFJINKE_03406","AOBIHHBI_04598","APBHMKIJ_04386","JMEBLKPE_03940"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"MMKGKMLP_04447","LOGJCLKH_04442","KDMFFKAN_04154","HFBCCMPJ_03822","EEFPNCOK_04270","ABGDGJIO_04626","NLELDDOK_01956","PIILDIKB_04388","CDFNNGFP_04494","PDDJGGLI_04468","AMKEOKNE_04211","JKFJINKE_03160","AOBIHHBI_04553","APBHMKIJ_04439","JMEBLKPE_04030"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"MMKGKMLP_04586","LOGJCLKH_04540","KDMFFKAN_04344","HFBCCMPJ_04351","EEFPNCOK_04404","ABGDGJIO_04685","NLELDDOK_04499","PIILDIKB_01067","CDFNNGFP_04524","PDDJGGLI_04540","AMKEOKNE_04454","JKFJINKE_04265","AOBIHHBI_04629","APBHMKIJ_04469","JMEBLKPE_04514"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"MMKGKMLP_00074","LOGJCLKH_00074","KDMFFKAN_01387","HFBCCMPJ_00781","EEFPNCOK_00528","ABGDGJIO_00074","NLELDDOK_02448","PIILDIKB_00528","CDFNNGFP_02273","PDDJGGLI_00595","AMKEOKNE_02536","JKFJINKE_00697","AOBIHHBI_03485","APBHMKIJ_03153","JMEBLKPE_01159"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"MMKGKMLP_04247","LOGJCLKH_00678","KDMFFKAN_04572","HFBCCMPJ_03273","EEFPNCOK_03403","ABGDGJIO_01591","NLELDDOK_04453","PIILDIKB_04123","CDFNNGFP_04362","PDDJGGLI_01103","AMKEOKNE_01226","JKFJINKE_04311","AOBIHHBI_00519","APBHMKIJ_03935","JMEBLKPE_03352"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"MMKGKMLP_00177","LOGJCLKH_00178","KDMFFKAN_01490","HFBCCMPJ_00884","EEFPNCOK_00425","ABGDGJIO_00177","NLELDDOK_04096","PIILDIKB_00425","CDFNNGFP_02376","PDDJGGLI_00492","AMKEOKNE_02433","JKFJINKE_01975","AOBIHHBI_00492","APBHMKIJ_02925","JMEBLKPE_01056"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"MMKGKMLP_01101","LOGJCLKH_03873","KDMFFKAN_00048","HFBCCMPJ_00444","EEFPNCOK_00647","ABGDGJIO_02371","NLELDDOK_01170","PIILDIKB_01244","CDFNNGFP_00850","PDDJGGLI_01470","AMKEOKNE_01719","JKFJINKE_01642","AOBIHHBI_01414","APBHMKIJ_01800","JMEBLKPE_03583"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"MMKGKMLP_01105","LOGJCLKH_03869","KDMFFKAN_00052","HFBCCMPJ_00440","EEFPNCOK_00651","ABGDGJIO_02367","NLELDDOK_01166","PIILDIKB_01248","CDFNNGFP_00854","PDDJGGLI_01466","AMKEOKNE_01723","JKFJINKE_01638","AOBIHHBI_01418","APBHMKIJ_01796","JMEBLKPE_03579"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"MMKGKMLP_01108","LOGJCLKH_03866","KDMFFKAN_00055","HFBCCMPJ_00437","EEFPNCOK_00654","ABGDGJIO_02364","NLELDDOK_01163","PIILDIKB_01251","CDFNNGFP_00857","PDDJGGLI_01463","AMKEOKNE_01726","JKFJINKE_01635","AOBIHHBI_01421","APBHMKIJ_01793","JMEBLKPE_03576"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"MMKGKMLP_01109","LOGJCLKH_03865","KDMFFKAN_00056","HFBCCMPJ_00436","EEFPNCOK_00655","ABGDGJIO_02363","NLELDDOK_01162","PIILDIKB_01252","CDFNNGFP_00858","PDDJGGLI_01462","AMKEOKNE_01727","JKFJINKE_01634","AOBIHHBI_01422","APBHMKIJ_01792","JMEBLKPE_03575"
