"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR14766330","SRR17518186","SRR14766411","SRR1334125","NDSU3","SRR3097528","SRR3097456","SRR5905071","SRR2102508","SRR28412151","SRR19397116","SRR15712217","SRR14766455","SRR6475644","SRR5928609"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"POPOBFCK_00310","CBIADFLF_00310","IABIGAJC_03037","AOJNFOHD_01471","EOMJMOHL_02988","ALLEBCBP_00061","PIILDIKB_04067","JHIKAEHP_00687","PEGBKDIG_03466","CAFPMJGF_01723","KKIADDGI_00981","BMHAMMBM_00918","BHJELCCI_02533","JMHMHBON_02094","MAMFPLAJ_04240"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"POPOBFCK_00410","CBIADFLF_00411","IABIGAJC_02162","AOJNFOHD_01571","EOMJMOHL_03088","ALLEBCBP_00161","PIILDIKB_01117","JHIKAEHP_00587","PEGBKDIG_03676","CAFPMJGF_01823","KKIADDGI_00881","BMHAMMBM_00818","BHJELCCI_03429","JMHMHBON_02194","MAMFPLAJ_01896"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"POPOBFCK_04145","CBIADFLF_03810","IABIGAJC_04267","AOJNFOHD_03504","EOMJMOHL_03531","ALLEBCBP_03158","PIILDIKB_03113","JHIKAEHP_04373","PEGBKDIG_04206","CAFPMJGF_03717","KKIADDGI_03818","BMHAMMBM_03747","BHJELCCI_04027","JMHMHBON_03763","MAMFPLAJ_02833"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"POPOBFCK_03831","CBIADFLF_04093","IABIGAJC_03437","AOJNFOHD_04071","EOMJMOHL_04060","ALLEBCBP_03649","PIILDIKB_03828","JHIKAEHP_03617","PEGBKDIG_03170","CAFPMJGF_03993","KKIADDGI_04177","BMHAMMBM_04118","BHJELCCI_02840","JMHMHBON_04045","MAMFPLAJ_02378"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"POPOBFCK_03826","CBIADFLF_04098","IABIGAJC_03442","AOJNFOHD_04066","EOMJMOHL_04065","ALLEBCBP_03644","PIILDIKB_03823","JHIKAEHP_03622","PEGBKDIG_03175","CAFPMJGF_03998","KKIADDGI_04172","BMHAMMBM_04123","BHJELCCI_02835","JMHMHBON_04050","MAMFPLAJ_02373"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"POPOBFCK_03768","CBIADFLF_04156","IABIGAJC_03500","AOJNFOHD_04008","EOMJMOHL_04123","ALLEBCBP_03586","PIILDIKB_03765","JHIKAEHP_03680","PEGBKDIG_03233","CAFPMJGF_04056","KKIADDGI_04114","BMHAMMBM_04181","BHJELCCI_02777","JMHMHBON_04108","MAMFPLAJ_02899"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"POPOBFCK_03732","CBIADFLF_04192","IABIGAJC_03536","AOJNFOHD_03972","EOMJMOHL_04720","ALLEBCBP_03550","PIILDIKB_03729","JHIKAEHP_03716","PEGBKDIG_03269","CAFPMJGF_04092","KKIADDGI_04078","BMHAMMBM_04217","BHJELCCI_02741","JMHMHBON_04144","MAMFPLAJ_02935"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"POPOBFCK_04288","CBIADFLF_04293","IABIGAJC_04209","AOJNFOHD_04569","EOMJMOHL_04306","ALLEBCBP_04035","PIILDIKB_00601","JHIKAEHP_04144","PEGBKDIG_03931","CAFPMJGF_04286","KKIADDGI_04360","BMHAMMBM_04318","BHJELCCI_03953","JMHMHBON_04308","MAMFPLAJ_04465"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"POPOBFCK_04344","CBIADFLF_04349","IABIGAJC_04153","AOJNFOHD_04415","EOMJMOHL_04362","ALLEBCBP_03979","PIILDIKB_00657","JHIKAEHP_04200","PEGBKDIG_03987","CAFPMJGF_04342","KKIADDGI_04304","BMHAMMBM_04374","BHJELCCI_03897","JMHMHBON_04252","MAMFPLAJ_03051"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"POPOBFCK_04045","CBIADFLF_03710","IABIGAJC_03365","AOJNFOHD_03404","EOMJMOHL_03431","ALLEBCBP_01973","PIILDIKB_03013","JHIKAEHP_03387","PEGBKDIG_04267","CAFPMJGF_03617","KKIADDGI_03716","BMHAMMBM_03849","BHJELCCI_03180","JMHMHBON_03661","MAMFPLAJ_04652"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"POPOBFCK_04554","CBIADFLF_04512","IABIGAJC_04426","AOJNFOHD_04483","EOMJMOHL_04501","ALLEBCBP_04368","PIILDIKB_04286","JHIKAEHP_04517","PEGBKDIG_04402","CAFPMJGF_04504","KKIADDGI_04484","BMHAMMBM_04477","BHJELCCI_04229","JMHMHBON_04475","MAMFPLAJ_03978"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"POPOBFCK_04551","CBIADFLF_04509","IABIGAJC_04429","AOJNFOHD_04480","EOMJMOHL_04498","ALLEBCBP_04371","PIILDIKB_04289","JHIKAEHP_04514","PEGBKDIG_04399","CAFPMJGF_04501","KKIADDGI_04481","BMHAMMBM_04474","BHJELCCI_04226","JMHMHBON_04478","MAMFPLAJ_03975"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"POPOBFCK_04530","CBIADFLF_04488","IABIGAJC_04450","AOJNFOHD_04459","EOMJMOHL_04477","ALLEBCBP_04392","PIILDIKB_04310","JHIKAEHP_04493","PEGBKDIG_04378","CAFPMJGF_04480","KKIADDGI_04460","BMHAMMBM_04453","BHJELCCI_04205","JMHMHBON_04499","MAMFPLAJ_03954"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"POPOBFCK_04485","CBIADFLF_04442","IABIGAJC_02056","AOJNFOHD_04512","EOMJMOHL_04573","ALLEBCBP_03080","PIILDIKB_04388","JHIKAEHP_04547","PEGBKDIG_04337","CAFPMJGF_04439","KKIADDGI_00774","BMHAMMBM_04588","BHJELCCI_04164","JMHMHBON_04540","MAMFPLAJ_03470"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"POPOBFCK_04561","CBIADFLF_04541","IABIGAJC_04469","AOJNFOHD_04542","EOMJMOHL_04750","ALLEBCBP_04556","PIILDIKB_01067","JHIKAEHP_04631","PEGBKDIG_04538","CAFPMJGF_04511","KKIADDGI_04554","BMHAMMBM_04506","BHJELCCI_04566","JMHMHBON_04592","MAMFPLAJ_04511"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"POPOBFCK_01410","CBIADFLF_02989","IABIGAJC_00074","AOJNFOHD_00074","EOMJMOHL_03708","ALLEBCBP_02799","PIILDIKB_00528","JHIKAEHP_03501","PEGBKDIG_00962","CAFPMJGF_01340","KKIADDGI_01364","BMHAMMBM_03319","BHJELCCI_02123","JMHMHBON_01340","MAMFPLAJ_03874"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"POPOBFCK_00922","CBIADFLF_00924","IABIGAJC_04258","AOJNFOHD_01655","EOMJMOHL_01538","ALLEBCBP_04114","PIILDIKB_04123","JHIKAEHP_02860","PEGBKDIG_01614","CAFPMJGF_02335","KKIADDGI_01967","BMHAMMBM_01662","BHJELCCI_03132","JMHMHBON_01848","MAMFPLAJ_04396"
