"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR28323385","SRR25926988","SRR6683743","SRR19397284","SRR14766400","SRR27708429","SRR4292612","SRR2077386","SRR6321910","SRR7041697","SRR7010294","SRR14766441","SRR13643325","SRR1269370","SRR7638087"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"JJPMJGEG_01056","BMNCOJIK_02219","OCPBJCHP_01227","OAENFPIN_03232","NBOJOKHD_02701","MDJJIALB_01720","HMKNMGJO_01843","AHCJAMEF_01251","KMHKNAGE_00981","NCFACCIB_03333","FNDKDPDO_03197","IOEMIFOP_00978","JJLFNJEC_00912","IAAHCBOP_00978","HNLCLDHN_02493"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"JJPMJGEG_01158","BMNCOJIK_02119","OCPBJCHP_01127","OAENFPIN_03132","NBOJOKHD_02801","MDJJIALB_01819","HMKNMGJO_03340","AHCJAMEF_01150","KMHKNAGE_00881","NCFACCIB_01381","FNDKDPDO_00507","IOEMIFOP_01078","JJLFNJEC_01013","IAAHCBOP_01078","HNLCLDHN_03958"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"JJPMJGEG_03674","BMNCOJIK_04000","OCPBJCHP_04195","OAENFPIN_03427","NBOJOKHD_02931","MDJJIALB_02175","HMKNMGJO_03707","AHCJAMEF_03625","KMHKNAGE_03965","NCFACCIB_03709","FNDKDPDO_03076","IOEMIFOP_04007","JJLFNJEC_03342","IAAHCBOP_03983","HNLCLDHN_03319"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"JJPMJGEG_04036","BMNCOJIK_03477","OCPBJCHP_03274","OAENFPIN_04136","NBOJOKHD_03362","MDJJIALB_01894","HMKNMGJO_02239","AHCJAMEF_03907","KMHKNAGE_04327","NCFACCIB_03609","FNDKDPDO_02240","IOEMIFOP_03752","JJLFNJEC_04054","IAAHCBOP_03817","HNLCLDHN_03872"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"JJPMJGEG_04041","BMNCOJIK_03482","OCPBJCHP_03269","OAENFPIN_04141","NBOJOKHD_03357","MDJJIALB_01899","HMKNMGJO_02244","AHCJAMEF_03912","KMHKNAGE_04322","NCFACCIB_03604","FNDKDPDO_02245","IOEMIFOP_03757","JJLFNJEC_04049","IAAHCBOP_03822","HNLCLDHN_03867"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"JJPMJGEG_04099","BMNCOJIK_03540","OCPBJCHP_03211","OAENFPIN_03990","NBOJOKHD_03299","MDJJIALB_01957","HMKNMGJO_02302","AHCJAMEF_03970","KMHKNAGE_04264","NCFACCIB_03241","FNDKDPDO_04511","IOEMIFOP_04057","JJLFNJEC_03991","IAAHCBOP_03880","HNLCLDHN_03809"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"JJPMJGEG_04639","BMNCOJIK_04120","OCPBJCHP_03175","OAENFPIN_04026","NBOJOKHD_03263","MDJJIALB_01993","HMKNMGJO_02338","AHCJAMEF_04006","KMHKNAGE_04228","NCFACCIB_03205","FNDKDPDO_03276","IOEMIFOP_04021","JJLFNJEC_03955","IAAHCBOP_03916","HNLCLDHN_03773"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"JJPMJGEG_04277","BMNCOJIK_03805","OCPBJCHP_04018","OAENFPIN_04040","NBOJOKHD_03963","MDJJIALB_04081","HMKNMGJO_03450","AHCJAMEF_04171","KMHKNAGE_04447","NCFACCIB_03500","FNDKDPDO_02890","IOEMIFOP_03868","JJLFNJEC_04237","IAAHCBOP_04772","HNLCLDHN_04228"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"JJPMJGEG_04221","BMNCOJIK_03861","OCPBJCHP_03962","OAENFPIN_04096","NBOJOKHD_04019","MDJJIALB_03199","HMKNMGJO_03506","AHCJAMEF_04115","KMHKNAGE_04503","NCFACCIB_03444","FNDKDPDO_02834","IOEMIFOP_03812","JJLFNJEC_04181","IAAHCBOP_04219","HNLCLDHN_04284"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"JJPMJGEG_03774","BMNCOJIK_02494","OCPBJCHP_02965","OAENFPIN_03327","NBOJOKHD_03031","MDJJIALB_02744","HMKNMGJO_03665","AHCJAMEF_03525","KMHKNAGE_03865","NCFACCIB_01908","FNDKDPDO_01596","IOEMIFOP_04190","JJLFNJEC_03242","IAAHCBOP_04071","HNLCLDHN_03219"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"JJPMJGEG_04456","BMNCOJIK_04268","OCPBJCHP_04308","OAENFPIN_04331","NBOJOKHD_04277","MDJJIALB_03688","HMKNMGJO_04235","AHCJAMEF_04481","KMHKNAGE_04643","NCFACCIB_04141","FNDKDPDO_03514","IOEMIFOP_04388","JJLFNJEC_04490","IAAHCBOP_04570","HNLCLDHN_04579"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"JJPMJGEG_04453","BMNCOJIK_04271","OCPBJCHP_04311","OAENFPIN_04328","NBOJOKHD_04280","MDJJIALB_03691","HMKNMGJO_04232","AHCJAMEF_04478","KMHKNAGE_04640","NCFACCIB_04144","FNDKDPDO_03511","IOEMIFOP_04391","JJLFNJEC_04493","IAAHCBOP_04573","HNLCLDHN_04576"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"JJPMJGEG_04432","BMNCOJIK_04292","OCPBJCHP_04332","OAENFPIN_04307","NBOJOKHD_04301","MDJJIALB_03712","HMKNMGJO_04211","AHCJAMEF_04457","KMHKNAGE_04619","NCFACCIB_04165","FNDKDPDO_03490","IOEMIFOP_04412","JJLFNJEC_04514","IAAHCBOP_04594","HNLCLDHN_04555"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"JJPMJGEG_04391","BMNCOJIK_04181","OCPBJCHP_04275","OAENFPIN_04359","NBOJOKHD_04343","MDJJIALB_04021","HMKNMGJO_04122","AHCJAMEF_04411","KMHKNAGE_00774","NCFACCIB_04108","FNDKDPDO_03445","IOEMIFOP_04359","JJLFNJEC_04461","IAAHCBOP_04536","HNLCLDHN_04510"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"JJPMJGEG_04555","BMNCOJIK_04598","OCPBJCHP_04437","OAENFPIN_04530","NBOJOKHD_04534","MDJJIALB_03925","HMKNMGJO_04537","AHCJAMEF_04578","KMHKNAGE_04680","NCFACCIB_04327","FNDKDPDO_04360","IOEMIFOP_04530","JJLFNJEC_04555","IAAHCBOP_04613","HNLCLDHN_04586"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"JJPMJGEG_02999","BMNCOJIK_01055","OCPBJCHP_03089","OAENFPIN_00595","NBOJOKHD_00073","MDJJIALB_01293","HMKNMGJO_02134","AHCJAMEF_00074","KMHKNAGE_01364","NCFACCIB_00466","FNDKDPDO_02135","IOEMIFOP_00596","JJLFNJEC_00074","IAAHCBOP_00595","HNLCLDHN_00074"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"JJPMJGEG_01672","BMNCOJIK_00342","OCPBJCHP_04552","OAENFPIN_01104","NBOJOKHD_01105","MDJJIALB_02946","HMKNMGJO_04514","AHCJAMEF_04251","KMHKNAGE_02396","NCFACCIB_04551","FNDKDPDO_04226","IOEMIFOP_03239","JJLFNJEC_01525","IAAHCBOP_02908","HNLCLDHN_00676"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"JJPMJGEG_02896","BMNCOJIK_01158","OCPBJCHP_02330","OAENFPIN_00492","NBOJOKHD_00176","MDJJIALB_01190","HMKNMGJO_04358","AHCJAMEF_00177","KMHKNAGE_01468","NCFACCIB_00363","FNDKDPDO_04072","IOEMIFOP_00493","JJLFNJEC_00177","IAAHCBOP_00492","HNLCLDHN_00177"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"JJPMJGEG_00700","BMNCOJIK_03038","OCPBJCHP_03628","OAENFPIN_03011","NBOJOKHD_01159","MDJJIALB_02590","HMKNMGJO_00031","AHCJAMEF_00716","KMHKNAGE_00701","NCFACCIB_01505","FNDKDPDO_03329","IOEMIFOP_01201","JJLFNJEC_01580","IAAHCBOP_02213","HNLCLDHN_01472"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"JJPMJGEG_00696","BMNCOJIK_03042","OCPBJCHP_03632","OAENFPIN_03007","NBOJOKHD_01163","MDJJIALB_02586","HMKNMGJO_00035","AHCJAMEF_00720","KMHKNAGE_00697","NCFACCIB_01509","FNDKDPDO_03325","IOEMIFOP_01205","JJLFNJEC_01584","IAAHCBOP_02209","HNLCLDHN_01468"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"JJPMJGEG_00693","BMNCOJIK_03045","OCPBJCHP_03635","OAENFPIN_03004","NBOJOKHD_01166","MDJJIALB_02583","HMKNMGJO_00038","AHCJAMEF_00723","KMHKNAGE_00694","NCFACCIB_01512","FNDKDPDO_03322","IOEMIFOP_01208","JJLFNJEC_01587","IAAHCBOP_02206","HNLCLDHN_01465"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"JJPMJGEG_00692","BMNCOJIK_03046","OCPBJCHP_03636","OAENFPIN_03003","NBOJOKHD_01167","MDJJIALB_02582","HMKNMGJO_00039","AHCJAMEF_00724","KMHKNAGE_00693","NCFACCIB_01513","FNDKDPDO_03321","IOEMIFOP_01209","JJLFNJEC_01588","IAAHCBOP_02205","HNLCLDHN_01464"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"JJPMJGEG_00667","BMNCOJIK_03071","OCPBJCHP_03661","OAENFPIN_02978","NBOJOKHD_01192","MDJJIALB_02557","HMKNMGJO_00064","AHCJAMEF_00749","KMHKNAGE_00668","NCFACCIB_01538","FNDKDPDO_03296","IOEMIFOP_01234","JJLFNJEC_01613","IAAHCBOP_02180","HNLCLDHN_01439"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"JJPMJGEG_00666","BMNCOJIK_03072","OCPBJCHP_03662","OAENFPIN_02977","NBOJOKHD_01193","MDJJIALB_02556","HMKNMGJO_00065","AHCJAMEF_00750","KMHKNAGE_00667","NCFACCIB_01539","FNDKDPDO_03295","IOEMIFOP_01235","JJLFNJEC_01614","IAAHCBOP_02179","HNLCLDHN_01438"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"JJPMJGEG_00665","BMNCOJIK_03073","OCPBJCHP_03663","OAENFPIN_02976","NBOJOKHD_01194","MDJJIALB_02555","HMKNMGJO_00066","AHCJAMEF_00751","KMHKNAGE_00666","NCFACCIB_01540","FNDKDPDO_03294","IOEMIFOP_01236","JJLFNJEC_01615","IAAHCBOP_02178","HNLCLDHN_01437"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"JJPMJGEG_00650","BMNCOJIK_03088","OCPBJCHP_03678","OAENFPIN_02961","NBOJOKHD_01209","MDJJIALB_02540","HMKNMGJO_00081","AHCJAMEF_00766","KMHKNAGE_00651","NCFACCIB_02015","FNDKDPDO_01248","IOEMIFOP_01251","JJLFNJEC_01630","IAAHCBOP_02163","HNLCLDHN_01422"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"JJPMJGEG_00640","BMNCOJIK_03098","OCPBJCHP_03688","OAENFPIN_02951","NBOJOKHD_01219","MDJJIALB_02530","HMKNMGJO_00091","AHCJAMEF_00776","KMHKNAGE_00641","NCFACCIB_02025","FNDKDPDO_01238","IOEMIFOP_01261","JJLFNJEC_01640","IAAHCBOP_02153","HNLCLDHN_01412"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"JJPMJGEG_00638","BMNCOJIK_03100","OCPBJCHP_03690","OAENFPIN_02949","NBOJOKHD_01221","MDJJIALB_03979","HMKNMGJO_00093","AHCJAMEF_00778","KMHKNAGE_00639","NCFACCIB_02027","FNDKDPDO_01236","IOEMIFOP_01263","JJLFNJEC_01642","IAAHCBOP_02151","HNLCLDHN_01410"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"JJPMJGEG_00613","BMNCOJIK_02284","OCPBJCHP_02519","OAENFPIN_02924","NBOJOKHD_01246","MDJJIALB_04171","HMKNMGJO_00118","AHCJAMEF_00803","KMHKNAGE_00614","NCFACCIB_02052","FNDKDPDO_01211","IOEMIFOP_01288","JJLFNJEC_01667","IAAHCBOP_02126","HNLCLDHN_01385"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"JJPMJGEG_00609","BMNCOJIK_02288","OCPBJCHP_02515","OAENFPIN_02920","NBOJOKHD_01250","MDJJIALB_04167","HMKNMGJO_00122","AHCJAMEF_00807","KMHKNAGE_00610","NCFACCIB_02056","FNDKDPDO_01207","IOEMIFOP_01292","JJLFNJEC_01671","IAAHCBOP_02122","HNLCLDHN_01381"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"JJPMJGEG_00599","BMNCOJIK_02298","OCPBJCHP_02505","OAENFPIN_02910","NBOJOKHD_01260","MDJJIALB_03241","HMKNMGJO_00132","AHCJAMEF_00817","KMHKNAGE_00600","NCFACCIB_02066","FNDKDPDO_01197","IOEMIFOP_01302","JJLFNJEC_01681","IAAHCBOP_02112","HNLCLDHN_01371"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"JJPMJGEG_00598","BMNCOJIK_02299","OCPBJCHP_02504","OAENFPIN_02909","NBOJOKHD_01261","MDJJIALB_03242","HMKNMGJO_00133","AHCJAMEF_00818","KMHKNAGE_00599","NCFACCIB_02067","FNDKDPDO_01196","IOEMIFOP_01303","JJLFNJEC_01682","IAAHCBOP_02111","HNLCLDHN_01370"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"JJPMJGEG_00579","BMNCOJIK_02318","OCPBJCHP_02485","OAENFPIN_02890","NBOJOKHD_01280","MDJJIALB_03261","HMKNMGJO_00152","AHCJAMEF_00837","KMHKNAGE_00580","NCFACCIB_02086","FNDKDPDO_01177","IOEMIFOP_01322","JJLFNJEC_01701","IAAHCBOP_02092","HNLCLDHN_01351"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"JJPMJGEG_00564","BMNCOJIK_02333","OCPBJCHP_02470","OAENFPIN_02875","NBOJOKHD_01295","MDJJIALB_03276","HMKNMGJO_00167","AHCJAMEF_00852","KMHKNAGE_00565","NCFACCIB_02101","FNDKDPDO_01162","IOEMIFOP_01337","JJLFNJEC_01716","IAAHCBOP_02077","HNLCLDHN_01336"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"JJPMJGEG_00550","BMNCOJIK_02347","OCPBJCHP_02456","OAENFPIN_02861","NBOJOKHD_01309","MDJJIALB_03290","HMKNMGJO_00181","AHCJAMEF_00866","KMHKNAGE_00551","NCFACCIB_02115","FNDKDPDO_01148","IOEMIFOP_01351","JJLFNJEC_01730","IAAHCBOP_02063","HNLCLDHN_01322"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"JJPMJGEG_00538","BMNCOJIK_02359","OCPBJCHP_02444","OAENFPIN_02849","NBOJOKHD_01321","MDJJIALB_03892","HMKNMGJO_00193","AHCJAMEF_00878","KMHKNAGE_00539","NCFACCIB_02127","FNDKDPDO_01136","IOEMIFOP_01363","JJLFNJEC_01742","IAAHCBOP_02051","HNLCLDHN_01310"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"JJPMJGEG_00532","BMNCOJIK_02365","OCPBJCHP_02438","OAENFPIN_02843","NBOJOKHD_01327","MDJJIALB_03886","HMKNMGJO_00199","AHCJAMEF_00884","KMHKNAGE_00533","NCFACCIB_02133","FNDKDPDO_01130","IOEMIFOP_01369","JJLFNJEC_01748","IAAHCBOP_02045","HNLCLDHN_01304"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"JJPMJGEG_00531","BMNCOJIK_02366","OCPBJCHP_02437","OAENFPIN_02842","NBOJOKHD_01328","MDJJIALB_03885","HMKNMGJO_00200","AHCJAMEF_00885","KMHKNAGE_00532","NCFACCIB_02134","FNDKDPDO_01129","IOEMIFOP_01370","JJLFNJEC_01749","IAAHCBOP_02044","HNLCLDHN_01303"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"JJPMJGEG_00528","BMNCOJIK_02369","OCPBJCHP_02434","OAENFPIN_02839","NBOJOKHD_01331","MDJJIALB_03882","HMKNMGJO_00203","AHCJAMEF_00888","KMHKNAGE_00529","NCFACCIB_02137","FNDKDPDO_01126","IOEMIFOP_01373","JJLFNJEC_01752","IAAHCBOP_02041","HNLCLDHN_01300"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"JJPMJGEG_00522","BMNCOJIK_02375","OCPBJCHP_02428","OAENFPIN_02833","NBOJOKHD_01337","MDJJIALB_03876","HMKNMGJO_00209","AHCJAMEF_00894","KMHKNAGE_00523","NCFACCIB_02143","FNDKDPDO_04215","IOEMIFOP_01379","JJLFNJEC_01758","IAAHCBOP_02035","HNLCLDHN_01294"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"JJPMJGEG_00521","BMNCOJIK_02376","OCPBJCHP_02427","OAENFPIN_02832","NBOJOKHD_01338","MDJJIALB_03875","HMKNMGJO_00210","AHCJAMEF_00895","KMHKNAGE_00522","NCFACCIB_02144","FNDKDPDO_04214","IOEMIFOP_01380","JJLFNJEC_01759","IAAHCBOP_02034","HNLCLDHN_01293"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"JJPMJGEG_00391","BMNCOJIK_03393","OCPBJCHP_03756","OAENFPIN_04241","NBOJOKHD_01468","MDJJIALB_03732","HMKNMGJO_00339","AHCJAMEF_01024","KMHKNAGE_00392","NCFACCIB_01595","FNDKDPDO_01791","IOEMIFOP_01510","JJLFNJEC_01889","IAAHCBOP_04490","HNLCLDHN_01163"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"JJPMJGEG_00390","BMNCOJIK_03392","OCPBJCHP_03755","OAENFPIN_04242","NBOJOKHD_01469","MDJJIALB_03731","HMKNMGJO_00340","AHCJAMEF_01025","KMHKNAGE_00391","NCFACCIB_01594","FNDKDPDO_01792","IOEMIFOP_01511","JJLFNJEC_01890","IAAHCBOP_04489","HNLCLDHN_01162"
