"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR14766465","SRR7041896","SRR19513351","SRR1379610","SRR14766461","SRR14766330","SRR14766334","SRR5905019","SRR3037435","SRR28412153","SRR6996343","SRR14767703","SRR14766419","SRR19397124","SRR14766359"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"DAKHGIEI_00844","LNFOPOPD_00590","KNIBLBKC_01724","LAOAEGFL_02079","EDCEBJLG_03475","POPOBFCK_00310","NAFKBAHO_01110","BIAKFFOC_02289","CKPEMOEN_00646","IKEDIMNK_01679","MCACKOHM_01749","JIELBEKG_02064","JCGPGLCM_00636","EJKMCCMB_01728","PLKMKOCD_02924"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"DAKHGIEI_00744","LNFOPOPD_00489","KNIBLBKC_01824","LAOAEGFL_03678","EDCEBJLG_03666","POPOBFCK_00410","NAFKBAHO_03179","BIAKFFOC_02766","CKPEMOEN_00746","IKEDIMNK_01779","MCACKOHM_03827","JIELBEKG_01964","JCGPGLCM_00535","EJKMCCMB_01828","PLKMKOCD_00935"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"DAKHGIEI_03670","LNFOPOPD_04285","KNIBLBKC_04022","LAOAEGFL_03779","EDCEBJLG_03407","POPOBFCK_04145","NAFKBAHO_02470","BIAKFFOC_01366","CKPEMOEN_03290","IKEDIMNK_03873","MCACKOHM_02799","JIELBEKG_03390","JCGPGLCM_03441","EJKMCCMB_03772","PLKMKOCD_02677"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"DAKHGIEI_03968","LNFOPOPD_03699","KNIBLBKC_03856","LAOAEGFL_03571","EDCEBJLG_03806","POPOBFCK_03831","NAFKBAHO_03373","BIAKFFOC_02873","CKPEMOEN_03694","IKEDIMNK_03997","MCACKOHM_03674","JIELBEKG_03146","JCGPGLCM_02930","EJKMCCMB_04048","PLKMKOCD_02851"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"DAKHGIEI_03963","LNFOPOPD_03704","KNIBLBKC_03861","LAOAEGFL_03566","EDCEBJLG_02368","POPOBFCK_03826","NAFKBAHO_02759","BIAKFFOC_02878","CKPEMOEN_03689","IKEDIMNK_04002","MCACKOHM_03679","JIELBEKG_03151","JCGPGLCM_02925","EJKMCCMB_04053","PLKMKOCD_02846"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"DAKHGIEI_03905","LNFOPOPD_04351","KNIBLBKC_03919","LAOAEGFL_03507","EDCEBJLG_02310","POPOBFCK_03768","NAFKBAHO_02701","BIAKFFOC_02936","CKPEMOEN_03631","IKEDIMNK_04060","MCACKOHM_03737","JIELBEKG_03209","JCGPGLCM_03544","EJKMCCMB_04111","PLKMKOCD_04417"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"DAKHGIEI_04635","LNFOPOPD_04387","KNIBLBKC_03955","LAOAEGFL_03471","EDCEBJLG_02274","POPOBFCK_03732","NAFKBAHO_03045","BIAKFFOC_04419","CKPEMOEN_03595","IKEDIMNK_04096","MCACKOHM_03773","JIELBEKG_04510","JCGPGLCM_03508","EJKMCCMB_04147","PLKMKOCD_03319"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"DAKHGIEI_04059","LNFOPOPD_04004","KNIBLBKC_04253","LAOAEGFL_04079","EDCEBJLG_03095","POPOBFCK_04288","NAFKBAHO_01743","BIAKFFOC_03446","CKPEMOEN_04169","IKEDIMNK_04260","MCACKOHM_04117","JIELBEKG_03615","JCGPGLCM_03170","EJKMCCMB_04248","PLKMKOCD_04278"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"DAKHGIEI_04115","LNFOPOPD_04060","KNIBLBKC_04309","LAOAEGFL_04023","EDCEBJLG_03151","POPOBFCK_04344","NAFKBAHO_01799","BIAKFFOC_03390","CKPEMOEN_04113","IKEDIMNK_04204","MCACKOHM_04061","JIELBEKG_03671","JCGPGLCM_03114","EJKMCCMB_04304","PLKMKOCD_02976"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"DAKHGIEI_03570","LNFOPOPD_03558","KNIBLBKC_04110","LAOAEGFL_03875","EDCEBJLG_01726","POPOBFCK_04045","NAFKBAHO_01343","BIAKFFOC_01267","CKPEMOEN_03390","IKEDIMNK_04268","MCACKOHM_02900","JIELBEKG_03850","JCGPGLCM_02253","EJKMCCMB_03672","PLKMKOCD_01605"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"DAKHGIEI_04403","LNFOPOPD_04480","KNIBLBKC_04404","LAOAEGFL_04125","EDCEBJLG_03850","POPOBFCK_04554","NAFKBAHO_03417","BIAKFFOC_04124","CKPEMOEN_04532","IKEDIMNK_04468","MCACKOHM_04332","JIELBEKG_04341","JCGPGLCM_04033","EJKMCCMB_04494","PLKMKOCD_03456"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"DAKHGIEI_04400","LNFOPOPD_04477","KNIBLBKC_04407","LAOAEGFL_04128","EDCEBJLG_03847","POPOBFCK_04551","NAFKBAHO_03414","BIAKFFOC_04121","CKPEMOEN_04529","IKEDIMNK_04471","MCACKOHM_04329","JIELBEKG_04344","JCGPGLCM_04030","EJKMCCMB_04491","PLKMKOCD_03453"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"DAKHGIEI_04379","LNFOPOPD_04456","KNIBLBKC_04428","LAOAEGFL_04149","EDCEBJLG_03826","POPOBFCK_04530","NAFKBAHO_03393","BIAKFFOC_04100","CKPEMOEN_04508","IKEDIMNK_04492","MCACKOHM_04308","JIELBEKG_04365","JCGPGLCM_04009","EJKMCCMB_04470","PLKMKOCD_03432"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"DAKHGIEI_04432","LNFOPOPD_04510","KNIBLBKC_04469","LAOAEGFL_04234","EDCEBJLG_00258","POPOBFCK_04485","NAFKBAHO_03925","BIAKFFOC_03968","CKPEMOEN_04467","IKEDIMNK_04439","MCACKOHM_04361","JIELBEKG_04204","JCGPGLCM_00429","EJKMCCMB_04524","PLKMKOCD_03733"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"DAKHGIEI_04505","LNFOPOPD_04539","KNIBLBKC_04542","LAOAEGFL_04375","EDCEBJLG_04509","POPOBFCK_04561","NAFKBAHO_04266","BIAKFFOC_04466","CKPEMOEN_04575","IKEDIMNK_04511","MCACKOHM_04567","JIELBEKG_04373","JCGPGLCM_04245","EJKMCCMB_04553","PLKMKOCD_04283"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"DAKHGIEI_00074","LNFOPOPD_02307","KNIBLBKC_01341","LAOAEGFL_03144","EDCEBJLG_01034","POPOBFCK_01410","NAFKBAHO_00635","BIAKFFOC_01639","CKPEMOEN_00895","IKEDIMNK_01296","MCACKOHM_00073","JIELBEKG_02293","JCGPGLCM_00331","EJKMCCMB_01347","PLKMKOCD_00440"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"DAKHGIEI_04306","LNFOPOPD_04276","KNIBLBKC_01907","LAOAEGFL_00542","EDCEBJLG_03358","POPOBFCK_00922","NAFKBAHO_04113","BIAKFFOC_04442","CKPEMOEN_04380","IKEDIMNK_03665","MCACKOHM_04045","JIELBEKG_00437","JCGPGLCM_03432","EJKMCCMB_02339","PLKMKOCD_04123"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"DAKHGIEI_00177","LNFOPOPD_02410","KNIBLBKC_01238","LAOAEGFL_03247","EDCEBJLG_01137","POPOBFCK_01513","NAFKBAHO_02372","BIAKFFOC_04260","CKPEMOEN_00998","IKEDIMNK_01193","MCACKOHM_00176","JIELBEKG_02190","JCGPGLCM_00228","EJKMCCMB_01244","PLKMKOCD_03506"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"DAKHGIEI_01442","LNFOPOPD_03878","KNIBLBKC_00047","LAOAEGFL_00047","EDCEBJLG_00198","POPOBFCK_00977","NAFKBAHO_00172","BIAKFFOC_02396","CKPEMOEN_00048","IKEDIMNK_00696","MCACKOHM_04153","JIELBEKG_00804","JCGPGLCM_03060","EJKMCCMB_00707","PLKMKOCD_02407"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"DAKHGIEI_01438","LNFOPOPD_03874","KNIBLBKC_00051","LAOAEGFL_00051","EDCEBJLG_00194","POPOBFCK_00981","NAFKBAHO_00176","BIAKFFOC_02400","CKPEMOEN_00052","IKEDIMNK_00692","MCACKOHM_04149","JIELBEKG_00800","JCGPGLCM_03056","EJKMCCMB_00703","PLKMKOCD_02403"
