"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR5883588","SRR14766416","SRR13643354","SRR14766340","SRR14766462","SRR12420044","SRR28323385","SRR14766338","SRR10298208","SRR18233397","SRR3000888","SRR14766408","SRR18233388","SRR9301046","SRR5905015"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"MEEADEEJ_02989","AJDPHMEH_04020","COGKNIAP_01589","NLELDDOK_02954","GEBDBFBM_00614","IIEOGEEO_02994","JJPMJGEG_01056","NHKOBKIA_01473","MOBEGOEH_00844","KDMFFKAN_04085","HAJGLMEJ_01536","IEICFKFC_00980","ACOJFAEA_00937","FIBKOHBH_01375","LCEAKGAM_03381"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"MEEADEEJ_03446","AJDPHMEH_02836","COGKNIAP_01488","NLELDDOK_02062","GEBDBFBM_03008","IIEOGEEO_03496","JJPMJGEG_01158","NHKOBKIA_02119","MOBEGOEH_00744","KDMFFKAN_03481","HAJGLMEJ_02994","IEICFKFC_01080","ACOJFAEA_01037","FIBKOHBH_03421","LCEAKGAM_02183"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"MEEADEEJ_04031","AJDPHMEH_03815","COGKNIAP_03767","NLELDDOK_01232","GEBDBFBM_03689","IIEOGEEO_03175","JJPMJGEG_03674","NHKOBKIA_02692","MOBEGOEH_03808","KDMFFKAN_02274","HAJGLMEJ_03378","IEICFKFC_04344","ACOJFAEA_03767","FIBKOHBH_04289","LCEAKGAM_03495"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"MEEADEEJ_02155","AJDPHMEH_03420","COGKNIAP_04043","NLELDDOK_02276","GEBDBFBM_03210","IIEOGEEO_03571","JJPMJGEG_04036","NHKOBKIA_03410","MOBEGOEH_04170","KDMFFKAN_02956","HAJGLMEJ_02263","IEICFKFC_03613","ACOJFAEA_04129","FIBKOHBH_02676","LCEAKGAM_02824"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"MEEADEEJ_02160","AJDPHMEH_03415","COGKNIAP_04048","NLELDDOK_02281","GEBDBFBM_03205","IIEOGEEO_03576","JJPMJGEG_04041","NHKOBKIA_04107","MOBEGOEH_04165","KDMFFKAN_02951","HAJGLMEJ_02258","IEICFKFC_03618","ACOJFAEA_04124","FIBKOHBH_02671","LCEAKGAM_02819"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"MEEADEEJ_02218","AJDPHMEH_03918","COGKNIAP_04106","NLELDDOK_02339","GEBDBFBM_04228","IIEOGEEO_03241","JJPMJGEG_04099","NHKOBKIA_03733","MOBEGOEH_04107","KDMFFKAN_02893","HAJGLMEJ_02200","IEICFKFC_03676","ACOJFAEA_04066","FIBKOHBH_02613","LCEAKGAM_03508"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"MEEADEEJ_02254","AJDPHMEH_03882","COGKNIAP_04142","NLELDDOK_02375","GEBDBFBM_04503","IIEOGEEO_03277","JJPMJGEG_04639","NHKOBKIA_02998","MOBEGOEH_04071","KDMFFKAN_02857","HAJGLMEJ_02164","IEICFKFC_03712","ACOJFAEA_04030","FIBKOHBH_02577","LCEAKGAM_03544"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"MEEADEEJ_03731","AJDPHMEH_03695","COGKNIAP_04243","NLELDDOK_03776","GEBDBFBM_03481","IIEOGEEO_02623","JJPMJGEG_04277","NHKOBKIA_04350","MOBEGOEH_04290","KDMFFKAN_04008","HAJGLMEJ_03518","IEICFKFC_04206","ACOJFAEA_04249","FIBKOHBH_03880","LCEAKGAM_04545"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"MEEADEEJ_03675","AJDPHMEH_03639","COGKNIAP_04299","NLELDDOK_03832","GEBDBFBM_03425","IIEOGEEO_02679","JJPMJGEG_04221","NHKOBKIA_02702","MOBEGOEH_04346","KDMFFKAN_03952","HAJGLMEJ_03574","IEICFKFC_04150","ACOJFAEA_04305","FIBKOHBH_03824","LCEAKGAM_03623"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"MEEADEEJ_02583","AJDPHMEH_03970","COGKNIAP_03667","NLELDDOK_01332","GEBDBFBM_02834","IIEOGEEO_03078","JJPMJGEG_03774","NHKOBKIA_01036","MOBEGOEH_03708","KDMFFKAN_02174","HAJGLMEJ_03231","IEICFKFC_03483","ACOJFAEA_03667","FIBKOHBH_02524","LCEAKGAM_02770"
