"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR13271374","SRR10356966","SRR11396150","SRR12811732","SRR12599228","SRR21582767","SRR13111143","SRR7966655","SRR10165306","SRR17818671","SRR13347705","SRR10335944","SRR16561948","SRR9661353","SRR15539457"
"group_1006","","hypothetical protein",905,905,1,1,2498,NA,NA,"",1823,2168,2165,"DPPGKOOK_03252","GBMICJBH_04463","PJNMJNBE_04385","GDKKBIOM_03309","HGNBKGHL_04416","ABBJBEKH_04542","HLIGKNCD_04131","MPIJPFFN_03446","IMJJNBNM_04439","EBEFJMAM_03316","EDOCLIFA_04386","NDHMLDLM_02646","NIJCKHOH_03112","GKHIPBGD_03198","JOICEOKN_03968"
"papC_3","","Outer membrane usher protein PapC",905,905,1,1,997,NA,NA,"",2057,2657,2656,"DPPGKOOK_03949","GBMICJBH_03670","PJNMJNBE_02965","GDKKBIOM_03804","HGNBKGHL_03715","ABBJBEKH_02886","HLIGKNCD_03564","MPIJPFFN_03823","IMJJNBNM_03426","EBEFJMAM_03829","EDOCLIFA_02311","NDHMLDLM_03697","NIJCKHOH_03615","GKHIPBGD_04404","JOICEOKN_03847"
"yfcO","","putative protein YfcO",905,905,1,1,992,NA,NA,"",734,842,841,"DPPGKOOK_03944","GBMICJBH_03675","PJNMJNBE_02960","GDKKBIOM_03799","HGNBKGHL_03720","ABBJBEKH_02891","HLIGKNCD_03569","MPIJPFFN_03828","IMJJNBNM_03431","EBEFJMAM_03824","EDOCLIFA_02316","NDHMLDLM_03692","NIJCKHOH_03620","GKHIPBGD_04399","JOICEOKN_03842"
"group_1013","","hypothetical protein",905,905,1,1,988,NA,NA,"",362,689,622,"DPPGKOOK_03940","GBMICJBH_03679","PJNMJNBE_02956","GDKKBIOM_03795","HGNBKGHL_03724","ABBJBEKH_02895","HLIGKNCD_03573","MPIJPFFN_03832","IMJJNBNM_03435","EBEFJMAM_03820","EDOCLIFA_02320","NDHMLDLM_03688","NIJCKHOH_03624","GKHIPBGD_04395","JOICEOKN_03838"
"abaF","","Fosfomycin resistance protein AbaF",905,905,1,1,979,NA,NA,"",803,1301,804,"DPPGKOOK_03932","GBMICJBH_03687","PJNMJNBE_02948","GDKKBIOM_03787","HGNBKGHL_03732","ABBJBEKH_02903","HLIGKNCD_03581","MPIJPFFN_03840","IMJJNBNM_03443","EBEFJMAM_03812","EDOCLIFA_02328","NDHMLDLM_03680","NIJCKHOH_03632","GKHIPBGD_04387","JOICEOKN_03830"
"ldcC","","Constitutive lysine decarboxylase",905,905,1,1,956,NA,NA,"",1370,2141,2139,"DPPGKOOK_03909","GBMICJBH_03710","PJNMJNBE_02925","GDKKBIOM_03764","HGNBKGHL_03755","ABBJBEKH_02926","HLIGKNCD_03604","MPIJPFFN_03863","IMJJNBNM_03466","EBEFJMAM_03789","EDOCLIFA_02351","NDHMLDLM_03657","NIJCKHOH_03655","GKHIPBGD_04364","JOICEOKN_03807"
"group_1042","","putative signaling protein",905,905,1,1,1158,NA,NA,"",1100,2099,2097,"DPPGKOOK_04221","GBMICJBH_04004","PJNMJNBE_04352","GDKKBIOM_04036","HGNBKGHL_04324","ABBJBEKH_04357","HLIGKNCD_03935","MPIJPFFN_04525","IMJJNBNM_04427","EBEFJMAM_04148","EDOCLIFA_04277","NDHMLDLM_04519","NIJCKHOH_03898","GKHIPBGD_04413","JOICEOKN_04077"
"malG","","Maltose/maltodextrin transport system permease protein MalG",905,905,1,1,913,NA,NA,"",515,890,889,"DPPGKOOK_03368","GBMICJBH_01444","PJNMJNBE_03605","GDKKBIOM_04186","HGNBKGHL_04288","ABBJBEKH_03833","HLIGKNCD_04048","MPIJPFFN_01508","IMJJNBNM_00417","EBEFJMAM_03743","EDOCLIFA_01965","NDHMLDLM_01900","NIJCKHOH_03934","GKHIPBGD_00695","JOICEOKN_04141"
"lamB","","Maltoporin",905,905,1,1,4755,NA,NA,"",644,1358,1347,"DPPGKOOK_03364","GBMICJBH_01440","PJNMJNBE_03609","GDKKBIOM_04190","HGNBKGHL_04292","ABBJBEKH_03829","HLIGKNCD_04044","MPIJPFFN_01503","IMJJNBNM_00413","EBEFJMAM_03747","EDOCLIFA_01961","NDHMLDLM_01896","NIJCKHOH_03930","GKHIPBGD_00699","JOICEOKN_04137"
"chuR_2","","Anaerobic sulfatase-maturating enzyme",905,905,1,1,5840,NA,NA,"",965,1190,1189,"DPPGKOOK_01953","GBMICJBH_04303","PJNMJNBE_04024","GDKKBIOM_04318","HGNBKGHL_01930","ABBJBEKH_01445","HLIGKNCD_04236","MPIJPFFN_01107","IMJJNBNM_00019","EBEFJMAM_04373","EDOCLIFA_02789","NDHMLDLM_01501","NIJCKHOH_04253","GKHIPBGD_01093","JOICEOKN_04280"
"yjgN_1","","Inner membrane protein YjgN",905,905,1,1,4988,NA,NA,"",752,848,847,"DPPGKOOK_04044","GBMICJBH_04362","PJNMJNBE_04344","GDKKBIOM_04356","HGNBKGHL_01754","ABBJBEKH_01620","HLIGKNCD_04348","MPIJPFFN_01284","IMJJNBNM_00195","EBEFJMAM_03215","EDOCLIFA_02965","NDHMLDLM_01677","NIJCKHOH_04307","GKHIPBGD_00916","JOICEOKN_04390"
"group_1092","","hypothetical protein",905,905,1,1,2437,NA,NA,"",698,974,973,"DPPGKOOK_04444","GBMICJBH_04321","PJNMJNBE_04069","GDKKBIOM_04386","HGNBKGHL_04582","ABBJBEKH_04560","HLIGKNCD_04184","MPIJPFFN_03395","IMJJNBNM_04621","EBEFJMAM_04414","EDOCLIFA_04450","NDHMLDLM_02595","NIJCKHOH_04293","GKHIPBGD_04621","JOICEOKN_04312"
"aceB","","Malate synthase A",905,905,1,1,889,NA,NA,"",1298,1601,1598,"DPPGKOOK_03392","GBMICJBH_01468","PJNMJNBE_04106","GDKKBIOM_04402","HGNBKGHL_04264","ABBJBEKH_03857","HLIGKNCD_04365","MPIJPFFN_01532","IMJJNBNM_00441","EBEFJMAM_03719","EDOCLIFA_04504","NDHMLDLM_01924","NIJCKHOH_04354","GKHIPBGD_00671","JOICEOKN_04357"
"prr","","Gamma-aminobutyraldehyde dehydrogenase",905,905,1,1,3242,NA,NA,"",1397,1445,1424,"DPPGKOOK_00470","GBMICJBH_01099","PJNMJNBE_02988","GDKKBIOM_00987","HGNBKGHL_01430","ABBJBEKH_00469","HLIGKNCD_00130","MPIJPFFN_02077","IMJJNBNM_00777","EBEFJMAM_01731","EDOCLIFA_00931","NDHMLDLM_01014","NIJCKHOH_01759","GKHIPBGD_01388","JOICEOKN_00358"
"group_1135","","hypothetical protein",905,905,1,1,1575,NA,NA,"",953,3956,3869,"DPPGKOOK_01160","GBMICJBH_03939","PJNMJNBE_03949","GDKKBIOM_04171","HGNBKGHL_02710","ABBJBEKH_01786","HLIGKNCD_03972","MPIJPFFN_03011","IMJJNBNM_01572","EBEFJMAM_01572","EDOCLIFA_04228","NDHMLDLM_01956","NIJCKHOH_04384","GKHIPBGD_02240","JOICEOKN_04264"
