"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR8592510","SRR12626352","SRR21186980","SRR8078641","SRR9824451","SRR13187405","SRR12828263","SRR5350752","SRR18319678","SRR6933294","SRR18128662","SRR12473515","SRR5075657","SRR2961909","SRR6933178"
"group_1006","","hypothetical protein",905,905,1,1,2498,NA,NA,"",1823,2168,2165,"ELPDAJHE_03677","EIBPAMMI_04513","MJBHFOLI_04542","DEGEEBDF_04458","DJPMOAID_03022","MJNEBMJF_04509","CNGMCOPD_03243","LGBPPDBD_00035","IAIDPEBG_04439","LLPJMIGA_01849","CKBCLIBF_04311","DFIKHNHH_00016","IKFDENOE_03397","NJDHHAAK_03329","EMOPMENM_04176"
"papC_3","","Outer membrane usher protein PapC",905,905,1,1,997,NA,NA,"",2057,2657,2656,"ELPDAJHE_03748","EIBPAMMI_03869","MJBHFOLI_01868","DEGEEBDF_04155","DJPMOAID_04415","MJNEBMJF_03581","CNGMCOPD_03362","LGBPPDBD_03614","IAIDPEBG_03844","LLPJMIGA_02392","CKBCLIBF_03852","DFIKHNHH_03256","IKFDENOE_03853","NJDHHAAK_03704","EMOPMENM_02640"
"yfcO","","putative protein YfcO",905,905,1,1,992,NA,NA,"",734,842,841,"ELPDAJHE_03743","EIBPAMMI_03874","MJBHFOLI_01873","DEGEEBDF_04160","DJPMOAID_04410","MJNEBMJF_03576","CNGMCOPD_03357","LGBPPDBD_03619","IAIDPEBG_03849","LLPJMIGA_02397","CKBCLIBF_03857","DFIKHNHH_03261","IKFDENOE_03858","NJDHHAAK_03709","EMOPMENM_02645"
"group_1013","","hypothetical protein",905,905,1,1,988,NA,NA,"",362,689,622,"ELPDAJHE_03739","EIBPAMMI_03878","MJBHFOLI_01877","DEGEEBDF_04164","DJPMOAID_04406","MJNEBMJF_03572","CNGMCOPD_03353","LGBPPDBD_03623","IAIDPEBG_03853","LLPJMIGA_02401","CKBCLIBF_03861","DFIKHNHH_03265","IKFDENOE_03862","NJDHHAAK_03713","EMOPMENM_02649"
"abaF","","Fosfomycin resistance protein AbaF",905,905,1,1,979,NA,NA,"",803,1301,804,"ELPDAJHE_03731","EIBPAMMI_03886","MJBHFOLI_01885","DEGEEBDF_04172","DJPMOAID_04398","MJNEBMJF_03564","CNGMCOPD_03345","LGBPPDBD_03631","IAIDPEBG_03861","LLPJMIGA_02409","CKBCLIBF_03869","DFIKHNHH_03273","IKFDENOE_03870","NJDHHAAK_03721","EMOPMENM_02657"
"ldcC","","Constitutive lysine decarboxylase",905,905,1,1,956,NA,NA,"",1370,2141,2139,"ELPDAJHE_03708","EIBPAMMI_03909","MJBHFOLI_01908","DEGEEBDF_04195","DJPMOAID_04375","MJNEBMJF_03541","CNGMCOPD_03322","LGBPPDBD_03654","IAIDPEBG_03884","LLPJMIGA_02432","CKBCLIBF_03892","DFIKHNHH_03296","IKFDENOE_03893","NJDHHAAK_03744","EMOPMENM_02680"
"group_1042","","putative signaling protein",905,905,1,1,1158,NA,NA,"",1100,2099,2097,"ELPDAJHE_04204","EIBPAMMI_04123","MJBHFOLI_04180","DEGEEBDF_04245","DJPMOAID_04452","MJNEBMJF_04013","CNGMCOPD_04422","LGBPPDBD_04396","IAIDPEBG_04135","LLPJMIGA_03329","CKBCLIBF_04412","DFIKHNHH_04333","IKFDENOE_04517","NJDHHAAK_04497","EMOPMENM_03342"
"malG","","Maltose/maltodextrin transport system permease protein MalG",905,905,1,1,913,NA,NA,"",515,890,889,"ELPDAJHE_04220","EIBPAMMI_03841","MJBHFOLI_03456","DEGEEBDF_03758","DJPMOAID_01831","MJNEBMJF_03460","CNGMCOPD_01180","LGBPPDBD_01331","IAIDPEBG_02484","LLPJMIGA_02364","CKBCLIBF_01086","DFIKHNHH_02636","IKFDENOE_02029","NJDHHAAK_04435","EMOPMENM_02612"
"lamB","","Maltoporin",905,905,1,1,4755,NA,NA,"",644,1358,1347,"ELPDAJHE_04224","EIBPAMMI_03837","MJBHFOLI_03460","DEGEEBDF_03762","DJPMOAID_01827","MJNEBMJF_03456","CNGMCOPD_01184","LGBPPDBD_01335","IAIDPEBG_02480","LLPJMIGA_02360","CKBCLIBF_01082","DFIKHNHH_02640","IKFDENOE_02025","NJDHHAAK_04431","EMOPMENM_02608"
"chuR_2","","Anaerobic sulfatase-maturating enzyme",905,905,1,1,5840,NA,NA,"",965,1190,1189,"ELPDAJHE_03056","EIBPAMMI_02274","MJBHFOLI_04035","DEGEEBDF_02983","DJPMOAID_01433","MJNEBMJF_04265","CNGMCOPD_01581","LGBPPDBD_01730","IAIDPEBG_04081","LLPJMIGA_03821","CKBCLIBF_00687","DFIKHNHH_03742","IKFDENOE_01631","NJDHHAAK_01922","EMOPMENM_03749"
"yjgN_1","","Inner membrane protein YjgN",905,905,1,1,4988,NA,NA,"",752,848,847,"ELPDAJHE_02690","EIBPAMMI_04403","MJBHFOLI_04488","DEGEEBDF_02163","DJPMOAID_01609","MJNEBMJF_02709","CNGMCOPD_01404","LGBPPDBD_01554","IAIDPEBG_02134","LLPJMIGA_04030","CKBCLIBF_00864","DFIKHNHH_02859","IKFDENOE_01807","NJDHHAAK_02098","EMOPMENM_03951"
"group_1092","","hypothetical protein",905,905,1,1,2437,NA,NA,"",698,974,973,"ELPDAJHE_04354","EIBPAMMI_04269","MJBHFOLI_04459","DEGEEBDF_04416","DJPMOAID_02971","MJNEBMJF_04318","CNGMCOPD_03294","LGBPPDBD_04635","IAIDPEBG_04359","LLPJMIGA_04269","CKBCLIBF_04363","DFIKHNHH_04511","IKFDENOE_03449","NJDHHAAK_04543","EMOPMENM_03857"
"aceB","","Malate synthase A",905,905,1,1,889,NA,NA,"",1298,1601,1598,"ELPDAJHE_04443","EIBPAMMI_03865","MJBHFOLI_03432","DEGEEBDF_03734","DJPMOAID_01855","MJNEBMJF_04493","CNGMCOPD_01156","LGBPPDBD_01307","IAIDPEBG_02508","LLPJMIGA_02388","CKBCLIBF_01110","DFIKHNHH_02612","IKFDENOE_02053","NJDHHAAK_04459","EMOPMENM_02636"
"prr","","Gamma-aminobutyraldehyde dehydrogenase",905,905,1,1,3242,NA,NA,"",1397,1445,1424,"ELPDAJHE_00277","EIBPAMMI_01979","MJBHFOLI_00120","DEGEEBDF_00544","DJPMOAID_00277","MJNEBMJF_00413","CNGMCOPD_01729","LGBPPDBD_02439","IAIDPEBG_00707","LLPJMIGA_02082","CKBCLIBF_01656","DFIKHNHH_02340","IKFDENOE_00819","NJDHHAAK_01774","EMOPMENM_01649"
"group_1135","","hypothetical protein",905,905,1,1,1575,NA,NA,"",953,3956,3869,"ELPDAJHE_00841","EIBPAMMI_00443","MJBHFOLI_01077","DEGEEBDF_03899","DJPMOAID_02928","MJNEBMJF_03940","CNGMCOPD_04072","LGBPPDBD_03257","IAIDPEBG_04414","LLPJMIGA_04233","CKBCLIBF_03214","DFIKHNHH_02275","IKFDENOE_03498","NJDHHAAK_03290","EMOPMENM_03934"
"ybiT","","putative ABC transporter ATP-binding protein YbiT",905,905,1,1,4411,NA,NA,"",977,1595,1590,"ELPDAJHE_03958","EIBPAMMI_04555","MJBHFOLI_03636","DEGEEBDF_04010","DJPMOAID_03428","MJNEBMJF_03210","CNGMCOPD_00739","LGBPPDBD_04164","IAIDPEBG_03773","LLPJMIGA_02008","CKBCLIBF_04223","DFIKHNHH_04197","IKFDENOE_00070","NJDHHAAK_04407","EMOPMENM_02299"
