"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR8397786","SRR7652915","SRR12768102","SRR12828263","SRR10363909","SRR9050637","SRR4280632","SRR13842582","SRR18319677","SRR13111143","SRR9822899","SRR15972681","SRR10493621","SRR8236529","SRR1257307"
"group_1006","","hypothetical protein",905,905,1,1,2498,NA,NA,"",1823,2168,2165,"EKJBEBBK_03702","FIDNOPAM_02985","MLIJMBLH_01892","CNGMCOPD_03243","GIMMCAIM_04268","NODFJPDB_04165","HELOFBCB_03435","MEIJKKIN_04373","KKJADEEP_03310","HLIGKNCD_04131","NBIDCAIK_03754","PCKCDEAJ_04464","HDHHPDNN_04264","PCABLDPE_04474","IHBOBMOM_03458"
"papC_3","","Outer membrane usher protein PapC",905,905,1,1,997,NA,NA,"",2057,2657,2656,"EKJBEBBK_04146","FIDNOPAM_03163","MLIJMBLH_04238","CNGMCOPD_03362","GIMMCAIM_03613","NODFJPDB_02956","HELOFBCB_03810","MEIJKKIN_02946","KKJADEEP_03787","HLIGKNCD_03564","NBIDCAIK_03645","PCKCDEAJ_03387","HDHHPDNN_03221","PCABLDPE_03863","IHBOBMOM_04081"
"yfcO","","putative protein YfcO",905,905,1,1,992,NA,NA,"",734,842,841,"EKJBEBBK_04141","FIDNOPAM_03168","MLIJMBLH_04233","CNGMCOPD_03357","GIMMCAIM_03618","NODFJPDB_02951","HELOFBCB_03815","MEIJKKIN_02941","KKJADEEP_03782","HLIGKNCD_03569","NBIDCAIK_03640","PCKCDEAJ_03382","HDHHPDNN_03226","PCABLDPE_03868","IHBOBMOM_04086"
"group_1013","","hypothetical protein",905,905,1,1,988,NA,NA,"",362,689,622,"EKJBEBBK_04137","FIDNOPAM_03172","MLIJMBLH_04229","CNGMCOPD_03353","GIMMCAIM_03622","NODFJPDB_02947","HELOFBCB_03819","MEIJKKIN_02937","KKJADEEP_03778","HLIGKNCD_03573","NBIDCAIK_03636","PCKCDEAJ_03378","HDHHPDNN_03230","PCABLDPE_03872","IHBOBMOM_04090"
"abaF","","Fosfomycin resistance protein AbaF",905,905,1,1,979,NA,NA,"",803,1301,804,"EKJBEBBK_04129","FIDNOPAM_03180","MLIJMBLH_04221","CNGMCOPD_03345","GIMMCAIM_03630","NODFJPDB_02939","HELOFBCB_03827","MEIJKKIN_02929","KKJADEEP_03770","HLIGKNCD_03581","NBIDCAIK_03628","PCKCDEAJ_03370","HDHHPDNN_03238","PCABLDPE_03880","IHBOBMOM_04098"
"ldcC","","Constitutive lysine decarboxylase",905,905,1,1,956,NA,NA,"",1370,2141,2139,"EKJBEBBK_04106","FIDNOPAM_03203","MLIJMBLH_04198","CNGMCOPD_03322","GIMMCAIM_03653","NODFJPDB_02916","HELOFBCB_03850","MEIJKKIN_02906","KKJADEEP_03747","HLIGKNCD_03604","NBIDCAIK_03605","PCKCDEAJ_03347","HDHHPDNN_03261","PCABLDPE_03903","IHBOBMOM_04121"
"group_1042","","putative signaling protein",905,905,1,1,1158,NA,NA,"",1100,2099,2097,"EKJBEBBK_04245","FIDNOPAM_03961","MLIJMBLH_04379","CNGMCOPD_04422","GIMMCAIM_04467","NODFJPDB_04502","HELOFBCB_04420","MEIJKKIN_04413","KKJADEEP_04177","HLIGKNCD_03935","NBIDCAIK_04058","PCKCDEAJ_03970","HDHHPDNN_03981","PCABLDPE_04172","IHBOBMOM_04444"
"malG","","Maltose/maltodextrin transport system permease protein MalG",905,905,1,1,913,NA,NA,"",515,890,889,"EKJBEBBK_00941","FIDNOPAM_03071","MLIJMBLH_02178","CNGMCOPD_01180","GIMMCAIM_02359","NODFJPDB_02397","HELOFBCB_01180","MEIJKKIN_00418","KKJADEEP_04244","HLIGKNCD_04048","NBIDCAIK_03675","PCKCDEAJ_04108","HDHHPDNN_03905","PCABLDPE_03835","IHBOBMOM_04051"
"lamB","","Maltoporin",905,905,1,1,4755,NA,NA,"",644,1358,1347,"EKJBEBBK_00937","FIDNOPAM_03075","MLIJMBLH_02174","CNGMCOPD_01184","GIMMCAIM_02355","NODFJPDB_02401","HELOFBCB_01184","MEIJKKIN_00414","KKJADEEP_04248","HLIGKNCD_04044","NBIDCAIK_03671","PCKCDEAJ_04112","HDHHPDNN_03909","PCABLDPE_03831","IHBOBMOM_04055"
"chuR_2","","Anaerobic sulfatase-maturating enzyme",905,905,1,1,5840,NA,NA,"",965,1190,1189,"EKJBEBBK_01873","FIDNOPAM_04197","MLIJMBLH_02969","CNGMCOPD_01581","GIMMCAIM_03325","NODFJPDB_03648","HELOFBCB_01579","MEIJKKIN_00019","KKJADEEP_04362","HLIGKNCD_04236","NBIDCAIK_04271","PCKCDEAJ_03047","HDHHPDNN_04070","PCABLDPE_02386","IHBOBMOM_02813"
