"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR14766418","SRR3000890","SRR18233386","SRR15096241","SRR14766454","SRR2994390","SRR1411125","SRR28412155","SRR28323379","SRR18233380","SRR2077395","SRR28323382","SRR1511581","SRR14766438","SRR1299304"
"dsbD_1","","Thiol:disulfide interchange protein DsbD",581,581,1,1,4535,NA,NA,"",440,1886,1882,"KEHCJKFN_00406","GEFNPNKI_02956","OKDIKGGJ_00979","LMGBLPLP_01662","DHLDAANJ_01677","DFDIOJDA_01351","LNNOOKGB_03174","KODEOOAH_01719","OADFFIOE_04089","KMJJIDCG_01660","CKEGPAKG_03530","KOLBENFC_01718","MMKGKMLP_02752","EJBBKOOG_02937","NEANDPFB_00956"
"artM_2","","Arginine transport ATP-binding protein ArtM",581,581,1,1,4645,NA,NA,"",503,752,751,"KEHCJKFN_03327","GEFNPNKI_03761","OKDIKGGJ_01079","LMGBLPLP_01762","DHLDAANJ_02691","DFDIOJDA_01451","LNNOOKGB_03702","KODEOOAH_01819","OADFFIOE_03300","KMJJIDCG_01760","CKEGPAKG_03917","KOLBENFC_01818","MMKGKMLP_03072","EJBBKOOG_02358","NEANDPFB_00856"
"papC_3","","Outer membrane usher protein PapC",581,581,1,1,2395,NA,NA,"",590,2657,2653,"KEHCJKFN_02924","GEFNPNKI_04224","OKDIKGGJ_03841","LMGBLPLP_03738","DHLDAANJ_02142","DFDIOJDA_03344","LNNOOKGB_02528","KODEOOAH_03732","OADFFIOE_02818","KMJJIDCG_03658","CKEGPAKG_01933","KOLBENFC_03747","MMKGKMLP_03181","EJBBKOOG_03519","NEANDPFB_03926"
"group_1039","","hypothetical protein",581,581,1,1,2178,NA,NA,"",263,998,995,"KEHCJKFN_03594","GEFNPNKI_03031","OKDIKGGJ_04123","LMGBLPLP_04100","DHLDAANJ_04510","DFDIOJDA_03919","LNNOOKGB_03082","KODEOOAH_04142","OADFFIOE_03725","KMJJIDCG_04106","CKEGPAKG_02576","KOLBENFC_04115","MMKGKMLP_02504","EJBBKOOG_03892","NEANDPFB_04208"
"assT_4","","Arylsulfate sulfotransferase AssT",581,581,1,1,2183,NA,NA,"",893,1790,1783,"KEHCJKFN_03599","GEFNPNKI_03036","OKDIKGGJ_04128","LMGBLPLP_04105","DHLDAANJ_02779","DFDIOJDA_03924","LNNOOKGB_03077","KODEOOAH_04147","OADFFIOE_03730","KMJJIDCG_04101","CKEGPAKG_02581","KOLBENFC_04120","MMKGKMLP_02509","EJBBKOOG_03860","NEANDPFB_04213"
"group_1043","","hypothetical protein",581,581,1,1,2258,NA,NA,"",824,1100,1098,"KEHCJKFN_04213","GEFNPNKI_03094","OKDIKGGJ_04186","LMGBLPLP_04163","DHLDAANJ_02208","DFDIOJDA_03982","LNNOOKGB_03019","KODEOOAH_04205","OADFFIOE_03788","KMJJIDCG_04043","CKEGPAKG_02639","KOLBENFC_04178","MMKGKMLP_02567","EJBBKOOG_03585","NEANDPFB_04271"
"glnG","","DNA-binding transcriptional regulator NtrC",581,581,1,1,2219,NA,NA,"",434,1409,1407,"KEHCJKFN_04177","GEFNPNKI_03130","OKDIKGGJ_04222","LMGBLPLP_04199","DHLDAANJ_02244","DFDIOJDA_04018","LNNOOKGB_02983","KODEOOAH_04241","OADFFIOE_04541","KMJJIDCG_04007","CKEGPAKG_02675","KOLBENFC_04214","MMKGKMLP_02603","EJBBKOOG_03621","NEANDPFB_04310"
"hsrA","","putative transport protein HsrA",581,581,1,1,1363,NA,NA,"",872,1427,1426,"KEHCJKFN_03898","GEFNPNKI_04067","OKDIKGGJ_04386","LMGBLPLP_04363","DHLDAANJ_01519","DFDIOJDA_04313","LNNOOKGB_04073","KODEOOAH_04405","OADFFIOE_03966","KMJJIDCG_04226","CKEGPAKG_03652","KOLBENFC_04378","MMKGKMLP_03648","EJBBKOOG_03017","NEANDPFB_04411"
"dgoD_2","","D-galactonate dehydratase",581,581,1,1,1420,NA,NA,"",692,1148,1146,"KEHCJKFN_03842","GEFNPNKI_04011","OKDIKGGJ_04330","LMGBLPLP_04307","DHLDAANJ_01575","DFDIOJDA_04257","LNNOOKGB_04017","KODEOOAH_04349","OADFFIOE_03910","KMJJIDCG_04282","CKEGPAKG_03596","KOLBENFC_04322","MMKGKMLP_03704","EJBBKOOG_02961","NEANDPFB_04467"
"araA","","L-arabinose isomerase",581,581,1,1,2499,NA,NA,"",1259,1502,1501,"KEHCJKFN_04069","GEFNPNKI_02800","OKDIKGGJ_03741","LMGBLPLP_03838","DHLDAANJ_01267","DFDIOJDA_03443","LNNOOKGB_02429","KODEOOAH_03632","OADFFIOE_02718","KMJJIDCG_03758","CKEGPAKG_02034","KOLBENFC_03847","MMKGKMLP_04225","EJBBKOOG_03315","NEANDPFB_03826"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"KEHCJKFN_04325","GEFNPNKI_04332","OKDIKGGJ_04503","LMGBLPLP_04524","DHLDAANJ_02910","DFDIOJDA_04516","LNNOOKGB_04390","KODEOOAH_04410","OADFFIOE_04340","KMJJIDCG_04484","CKEGPAKG_04090","KOLBENFC_04477","MMKGKMLP_04381","EJBBKOOG_03945","NEANDPFB_04515"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"KEHCJKFN_04328","GEFNPNKI_04335","OKDIKGGJ_04506","LMGBLPLP_04521","DHLDAANJ_02907","DFDIOJDA_04513","LNNOOKGB_04387","KODEOOAH_04413","OADFFIOE_04337","KMJJIDCG_04481","CKEGPAKG_04087","KOLBENFC_04474","MMKGKMLP_04378","EJBBKOOG_03948","NEANDPFB_04512"
