"cgmlst_ST"	"cgmlst_distance"	"cgmlst_found_loci"	"cgmlst_genome_match"	"cgmlst_matching_alleles"	"cgmlst_subspecies"	"fasta_filepath"	"genome"	"h1"	"h2"	"o_antigen"	"qc_messages"	"qc_status"	"serogroup"	"serovar"	"serovar_antigen"	"serovar_cgmlst"
"1"	NA	0.0181818181818182	329	"2018-CAL-0016"	324	"enterica"	"/scratch/smk459/dub-omics/1.3-unicyclerentero/assemblies/NDSU1_assembly.fasta"	"NDSU1_assembly"	"g,p"	"-"	"1,9,12[Vi]"	"INFO: Number of cgMLST330 loci found (n=329)"	"PASS"	"D1"	"Dublin"	"Kiel|Dublin"	"Dublin"
"2"	NA	0.0242424242424243	328	"2018-SEQ-0244"	322	"enterica"	"/scratch/smk459/dub-omics/1.3-unicyclerentero/assemblies/NDSU10_assembly.fasta"	"NDSU10_assembly"	"g,p"	"-"	"1,9,12[Vi]"	"INFO: Number of cgMLST330 loci found (n=328)"	"PASS"	"D1"	"Dublin"	"Kiel|Dublin"	"Dublin"
"3"	NA	0.0303030303030303	329	"2018-SEQ-0306"	320	"enterica"	"/scratch/smk459/dub-omics/1.3-unicyclerentero/assemblies/NDSU12_assembly.fasta"	"NDSU12_assembly"	"g,p"	"-"	"1,9,12[Vi]"	"INFO: Number of cgMLST330 loci found (n=329)"	"PASS"	"D1"	"Dublin"	"Kiel|Dublin"	"Dublin"
"4"	NA	0.0242424242424243	327	"2018-SEQ-0351"	322	"enterica"	"/scratch/smk459/dub-omics/1.3-unicyclerentero/assemblies/NDSU13_assembly.fasta"	"NDSU13_assembly"	"g,p"	"-"	"1,9,12[Vi]"	"INFO: Number of cgMLST330 loci found (n=327)"	"PASS"	"D1"	"Dublin"	"Kiel|Dublin"	"Dublin"
"5"	NA	0.0272727272727272	329	"2018-CAL-0016"	321	"enterica"	"/scratch/smk459/dub-omics/1.3-unicyclerentero/assemblies/NDSU15_assembly.fasta"	"NDSU15_assembly"	"g,p"	"-"	"1,9,12[Vi]"	"INFO: Number of cgMLST330 loci found (n=329)"	"PASS"	"D1"	"Dublin"	"Kiel|Dublin"	"Dublin"
"6"	NA	0.0181818181818182	329	"2018-SEQ-0351"	324	"enterica"	"/scratch/smk459/dub-omics/1.3-unicyclerentero/assemblies/NDSU16_assembly.fasta"	"NDSU16_assembly"	"g,p"	"-"	"1,9,12[Vi]"	"INFO: Number of cgMLST330 loci found (n=329)"	"PASS"	"D1"	"Dublin"	"Kiel|Dublin"	"Dublin"
"7"	NA	0.0242424242424243	329	"2018-SEQ-0244"	322	"enterica"	"/scratch/smk459/dub-omics/1.3-unicyclerentero/assemblies/NDSU17_assembly.fasta"	"NDSU17_assembly"	"g,p"	"-"	"1,9,12[Vi]"	"INFO: Number of cgMLST330 loci found (n=329)"	"PASS"	"D1"	"Dublin"	"Kiel|Dublin"	"Dublin"
"8"	NA	0.0181818181818182	329	"2018-SEQ-0351"	324	"enterica"	"/scratch/smk459/dub-omics/1.3-unicyclerentero/assemblies/NDSU18_assembly.fasta"	"NDSU18_assembly"	"g,p"	"-"	"1,9,12[Vi]"	"INFO: Number of cgMLST330 loci found (n=329)"	"PASS"	"D1"	"Dublin"	"Kiel|Dublin"	"Dublin"
"9"	NA	0.0242424242424243	329	"2018-SEQ-0244"	322	"enterica"	"/scratch/smk459/dub-omics/1.3-unicyclerentero/assemblies/NDSU19_assembly.fasta"	"NDSU19_assembly"	"g,p"	"-"	"1,9,12[Vi]"	"INFO: Number of cgMLST330 loci found (n=329)"	"PASS"	"D1"	"Dublin"	"Kiel|Dublin"	"Dublin"
"10"	NA	0.0181818181818182	329	"2018-CAL-0016"	324	"enterica"	"/scratch/smk459/dub-omics/1.3-unicyclerentero/assemblies/NDSU20_assembly.fasta"	"NDSU20_assembly"	"g,p"	"-"	"1,9,12[Vi]"	"INFO: Number of cgMLST330 loci found (n=329)"	"PASS"	"D1"	"Dublin"	"Kiel|Dublin"	"Dublin"
